,high,val,open,low,from_date,name,industry,start_quote,info,date,to_date,country,vol,symbol,indexes
1245,47.2552,47.0185,47.2348,46.3872,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-06-28,2025-03-06,PL,1962870.1427141,PKN,WIG20
1246,47.3011,46.8851,47.3011,46.7566,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-06-29,2025-03-06,PL,2506985.8262815,PKN,WIG
1247,47.3011,46.8851,47.3011,46.7566,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-06-29,2025-03-06,PL,2506985.8262815,PKN,WIG20
1248,46.9989,46.4152,46.5151,46.2538,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-06-30,2025-03-06,PL,1998846.691453,PKN,WIG
1249,46.9989,46.4152,46.5151,46.2538,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-06-30,2025-03-06,PL,1998846.691453,PKN,WIG20
1250,46.8188,46.2661,46.7566,45.8772,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-07-01,2025-03-06,PL,863036.58897408,PKN,WIG
1251,46.8188,46.2661,46.7566,45.8772,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-07-01,2025-03-06,PL,863036.58897408,PKN,WIG20
1252,45.9436,45.5742,45.8157,45.1043,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-07-04,2025-03-06,PL,1228240.4486736,PKN,WIG
1253,45.9436,45.5742,45.8157,45.1043,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-07-04,2025-03-06,PL,1228240.4486736,PKN,WIG20
1254,45.7028,45.1304,45.7028,44.9486,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-07-05,2025-03-06,PL,999853.23727228,PKN,WIG
1255,45.7028,45.1304,45.7028,44.9486,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-07-05,2025-03-06,PL,999853.23727228,PKN,WIG20
1256,45.2311,44.5999,45.1304,44.1962,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-07-06,2025-03-06,PL,1799302.5159525,PKN,WIG
1257,45.2311,44.5999,45.1304,44.1962,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-07-06,2025-03-06,PL,1799302.5159525,PKN,WIG20
1258,45.1583,44.7136,44.7873,44.31,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-07-07,2025-03-06,PL,1214886.9425323,PKN,WIG
1259,45.1583,44.7136,44.7873,44.31,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-07-07,2025-03-06,PL,1214886.9425323,PKN,WIG20
1260,44.929,43.0539,44.929,43.0539,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-07-08,2025-03-06,PL,1895171.9945135,PKN,WIG
1261,44.929,43.0539,44.929,43.0539,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-07-08,2025-03-06,PL,1895171.9945135,PKN,WIG20
1262,43.8334,43.4036,43.5583,42.7174,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-07-11,2025-03-06,PL,2645022.5360974,PKN,WIG
1263,43.8334,43.4036,43.5583,42.7174,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-07-11,2025-03-06,PL,2645022.5360974,PKN,WIG20
1264,44.3247,44.3247,43.275,43.2275,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-07-12,2025-03-06,PL,1403834.0471723,PKN,WIG
1265,44.3247,44.3247,43.275,43.2275,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-07-12,2025-03-06,PL,1403834.0471723,PKN,WIG20
1266,44.9969,43.7662,44.4983,43.4093,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-07-13,2025-03-06,PL,2056119.969668,PKN,WIG
1267,44.9969,43.7662,44.4983,43.4093,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-07-13,2025-03-06,PL,2056119.969668,PKN,WIG20
1268,44.3828,43.1349,44.3828,42.5111,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-07-14,2025-03-06,PL,2343968.9980629,PKN,WIG
1269,44.3828,43.1349,44.3828,42.5111,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-07-14,2025-03-06,PL,2343968.9980629,PKN,WIG20
1270,43.9603,43.7589,43.4821,43.0302,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-07-15,2025-03-06,PL,1625739.910751,PKN,WIG
1271,43.9603,43.7589,43.4821,43.0302,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-07-15,2025-03-06,PL,1625739.910751,PKN,WIG20
1272,45.4375,45.3196,44.0373,44.0373,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-07-18,2025-03-06,PL,1174698.1894143,PKN,WIG
1273,45.4375,45.3196,44.0373,44.0373,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-07-18,2025-03-06,PL,1174698.1894143,PKN,WIG20
1274,46.0139,45.9722,45.3826,45.0903,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-07-19,2025-03-06,PL,1130231.2826459,PKN,WIG
1275,46.0139,45.9722,45.3826,45.0903,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-07-19,2025-03-06,PL,1130231.2826459,PKN,WIG20
1276,46.2416,44.7996,46.1793,44.7513,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-07-20,2025-03-06,PL,1962335.2208475,PKN,WIG
1277,46.2416,44.7996,46.1793,44.7513,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-07-20,2025-03-06,PL,1962335.2208475,PKN,WIG20
1278,45.0566,44.938,45.0566,43.7376,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-07-21,2025-03-06,PL,1179346.3917532,PKN,WIG
1279,45.0566,44.938,45.0566,43.7376,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-07-21,2025-03-06,PL,1179346.3917532,PKN,WIG20
1280,44.9863,44.2232,44.938,44.1126,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-07-22,2025-03-06,PL,659264.33241804,PKN,WIG
1281,44.9863,44.2232,44.938,44.1126,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-07-22,2025-03-06,PL,659264.33241804,PKN,WIG20
1282,45.2083,45.132,44.3828,44.3772,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-07-25,2025-03-06,PL,824380.54577079,PKN,WIG
1283,45.2083,45.132,44.3828,44.3772,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-07-25,2025-03-06,PL,824380.54577079,PKN,WIG20
1284,46.0761,45.5545,45.0354,44.8758,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-07-26,2025-03-06,PL,1397235.4562009,PKN,WIG
1285,46.0761,45.5545,45.0354,44.8758,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-07-26,2025-03-06,PL,1397235.4562009,PKN,WIG20
1286,45.4644,45.3539,45.4235,44.4181,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-07-27,2025-03-06,PL,1615195.355051,PKN,WIG
1287,45.4644,45.3539,45.4235,44.4181,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-07-27,2025-03-06,PL,1615195.355051,PKN,WIG20
1288,45.3539,43.8211,45.0067,43.8211,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-07-28,2025-03-06,PL,2001411.3853341,PKN,WIG
1289,45.3539,43.8211,45.0067,43.8211,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-07-28,2025-03-06,PL,2001411.3853341,PKN,WIG20
1290,44.0373,43.3078,43.8285,43.1768,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-07-29,2025-03-06,PL,2602890.7220437,PKN,WIG
1291,44.0373,43.3078,43.8285,43.1768,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-07-29,2025-03-06,PL,2602890.7220437,PKN,WIG20
1292,44.0013,43.5583,43.551,42.5258,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-08-01,2025-03-06,PL,1222229.2947292,PKN,WIG
1293,44.0013,43.5583,43.551,42.5258,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-08-01,2025-03-06,PL,1222229.2947292,PKN,WIG20
1294,44.1412,43.3781,43.6893,42.9269,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-08-02,2025-03-06,PL,1736064.4925395,PKN,WIG
1295,44.1412,43.3781,43.6893,42.9269,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-08-02,2025-03-06,PL,1736064.4925395,PKN,WIG20
1296,43.6893,43.2184,43.5779,42.6978,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-08-03,2025-03-06,PL,794336.98887704,PKN,WIG
1297,43.6893,43.2184,43.5779,42.6978,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-08-03,2025-03-06,PL,794336.98887704,PKN,WIG20
1298,44.6326,44.5908,43.3781,43.2873,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-08-04,2025-03-06,PL,1638797.8664546,PKN,WIG
1299,44.6326,44.5908,43.3781,43.2873,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-08-04,2025-03-06,PL,1638797.8664546,PKN,WIG20
1300,44.8897,44.73,44.7087,44.0013,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-08-05,2025-03-06,PL,2094060.3411501,PKN,WIG
1301,44.8897,44.73,44.7087,44.0013,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-08-05,2025-03-06,PL,2094060.3411501,PKN,WIG20
1302,45.2156,45.1943,44.7709,44.4049,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-08-08,2025-03-06,PL,1091566.690463,PKN,WIG
